PLANT_NO,DATE_TIME,OM_TEMPERATURE_2M,OM_RELATIVE_HUMIDITY_2M,OM_DEW_POINT_2M,OM_APPARENT_TEMPERATURE,OM_PRESSURE_MSL,OM_SURFACE_PRESSURE,OM_PRECIPITATION,OM_CLOUD_COVER,OM_WIND_SPEED_10M,OM_WIND_DIRECTION_10M,OM_SHORTWAVE_RADIATION,OM_DIRECT_RADIATION,OM_DIFFUSE_RADIATION,OM_DIRECT_NORMAL_IRRADIANCE,OM_SUNSHINE_DURATION,LATITUDE,LONGITUDE,OPEN_METEO_TIMEZONE,OPEN_METEO_UTC_OFFSET_SECONDS
1,2020-05-15 00:00:00,29.5,67,22.8,32.7,1006.8,971.0,0.0,13,14.2,111,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 00:15:00,29.5,67,22.8,32.7,1006.8,971.0,0.0,13,14.2,111,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 00:30:00,29.5,67,22.8,32.7,1006.8,971.0,0.0,13,14.2,111,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 00:45:00,29.5,67,22.8,32.7,1006.8,971.0,0.0,13,14.2,111,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 01:00:00,28.6,71,22.9,32.3,1006.5,970.6,0.0,8,11.8,117,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 01:15:00,28.6,71,22.9,32.3,1006.5,970.6,0.0,8,11.8,117,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 01:30:00,28.6,71,22.9,32.3,1006.5,970.6,0.0,8,11.8,117,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 01:45:00,28.6,71,22.9,32.3,1006.5,970.6,0.0,8,11.8,117,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 02:00:00,28.0,74,22.9,32.0,1006.1,970.1,0.0,16,9.8,118,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 02:15:00,28.0,74,22.9,32.0,1006.1,970.1,0.0,16,9.8,118,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 02:30:00,28.0,74,22.9,32.0,1006.1,970.1,0.0,16,9.8,118,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 02:45:00,28.0,74,22.9,32.0,1006.1,970.1,0.0,16,9.8,118,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 03:00:00,27.5,77,23.0,31.9,1006.1,970.1,0.0,39,7.3,110,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 03:15:00,27.5,77,23.0,31.9,1006.1,970.1,0.0,39,7.3,110,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 03:30:00,27.5,77,23.0,31.9,1006.1,970.1,0.0,39,7.3,110,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 03:45:00,27.5,77,23.0,31.9,1006.1,970.1,0.0,39,7.3,110,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 04:00:00,27.0,79,23.1,31.6,1006.1,970.0,0.0,36,6.5,93,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 04:15:00,27.0,79,23.1,31.6,1006.1,970.0,0.0,36,6.5,93,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 04:30:00,27.0,79,23.1,31.6,1006.1,970.0,0.0,36,6.5,93,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 04:45:00,27.0,79,23.1,31.6,1006.1,970.0,0.0,36,6.5,93,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 05:00:00,26.4,84,23.4,31.2,1006.3,970.1,0.0,69,6.1,87,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 05:15:00,26.4,84,23.4,31.2,1006.3,970.1,0.0,69,6.1,87,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 05:30:00,26.4,84,23.4,31.2,1006.3,970.1,0.0,69,6.1,87,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 05:45:00,26.4,84,23.4,31.2,1006.3,970.1,0.0,69,6.1,87,0.0,0.0,0.0,0.0,0.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 06:00:00,26.5,83,23.4,31.7,1007.3,971.1,0.0,47,4.3,360,20.0,5.0,15.0,50.7,129.56,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 06:15:00,26.5,83,23.4,31.7,1007.3,971.1,0.0,47,4.3,360,20.0,5.0,15.0,50.7,129.56,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 06:30:00,26.5,83,23.4,31.7,1007.3,971.1,0.0,47,4.3,360,20.0,5.0,15.0,50.7,129.56,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 06:45:00,26.5,83,23.4,31.7,1007.3,971.1,0.0,47,4.3,360,20.0,5.0,15.0,50.7,129.56,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 07:00:00,27.5,77,23.1,32.4,1007.9,971.8,0.0,62,4.7,23,170.0,91.0,79.0,340.2,3600.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 07:15:00,27.5,77,23.1,32.4,1007.9,971.8,0.0,62,4.7,23,170.0,91.0,79.0,340.2,3600.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 07:30:00,27.5,77,23.1,32.4,1007.9,971.8,0.0,62,4.7,23,170.0,91.0,79.0,340.2,3600.0,14.815,78.287,Asia/Kolkata,19800
1,2020-05-15 07:45:00,27.5,77,23.1,32.4,1007.9,971.8,0.0,62,4.7,23,170.0,91.0,79.0,340.2,3600.0,14.815,78.287,Asia/Kolkata,19800
